day_of_year,n_samples,utci_mean,utci_p50,utci_p90,utci_p95,utci_p98,utci_sd,night_temp_mean
298,450,38.67,38.9,40.91,41.35,41.8,2.09,22.78
299,450,38.55,38.8,40.81,41.2,41.6,2.1,22.67
300,450,38.44,38.7,40.7,41.1,41.4,2.09,22.6
301,450,38.35,38.5,40.5,41.0,41.4,2.06,22.52
302,450,38.25,38.4,40.41,41.0,41.3,2.03,22.45
303,450,38.14,38.3,40.3,40.9,41.2,2.02,22.35
304,450,38.03,38.2,40.2,40.7,41.2,2.01,22.25
305,450,37.95,38.2,40.1,40.6,41.2,1.94,22.17
306,450,37.87,38.1,40.0,40.5,41.2,1.88,22.09
307,450,37.77,38.0,39.9,40.45,41.1,1.84,22.01
308,450,37.63,37.8,39.8,40.3,41.0,1.89,21.95
309,450,37.46,37.6,39.7,40.1,41.0,1.95,21.85
310,450,37.34,37.5,39.51,39.9,40.6,1.95,21.74
311,450,37.23,37.3,39.5,39.8,40.3,1.93,21.64
312,450,37.13,37.2,39.4,39.8,40.1,1.94,21.54
313,450,37.02,37.1,39.3,39.7,39.9,1.95,21.47
314,450,36.89,37.0,39.2,39.6,39.8,1.94,21.37
315,450,36.73,36.85,39.1,39.5,39.7,1.94,21.24
316,450,36.56,36.7,38.9,39.3,39.6,1.93,21.12
317,450,36.39,36.6,38.7,39.1,39.5,1.91,20.98
318,450,36.23,36.5,38.5,39.0,39.4,1.91,20.86
319,450,36.08,36.2,38.3,39.0,39.4,1.99,20.73
320,450,35.92,36.1,38.11,38.85,39.3,2.06,20.58
321,450,35.78,36.05,38.0,38.5,39.1,2.05,20.46
322,450,35.65,35.9,37.9,38.2,39.0,2.02,20.33
323,450,35.54,35.8,37.7,38.1,38.7,1.95,20.21
324,450,35.42,35.6,37.5,38.0,38.5,1.9,20.09
325,450,35.26,35.4,37.31,37.9,38.2,1.91,19.97
326,450,35.05,35.2,37.2,37.7,38.1,1.93,19.85
327,450,34.88,35.1,37.1,37.6,38.0,1.93,19.73
328,450,34.65,34.9,37.0,37.4,38.0,2.12,19.59
329,450,34.4,34.7,36.9,37.25,37.7,2.35,19.45
330,450,34.23,34.5,36.8,37.16,37.7,2.38,19.34
331,450,34.08,34.4,36.5,37.1,37.4,2.4,19.25
332,450,33.92,34.3,36.4,36.9,37.3,2.57,19.19
333,450,33.79,34.2,36.2,36.8,37.2,2.66,19.12
334,450,33.68,34.1,36.1,36.6,37.1,2.63,19.04
335,450,33.59,34.0,36.0,36.5,36.81,2.59,18.97
336,450,33.48,33.9,35.9,36.4,36.7,2.59,18.87
337,450,33.33,33.7,35.8,36.4,36.7,2.6,18.75
338,450,33.17,33.6,35.7,36.16,36.7,2.62,18.61
339,450,33.0,33.4,35.6,36.05,36.7,2.66,18.5
340,450,32.84,33.3,35.6,36.0,36.7,2.7,18.38
341,450,32.71,33.2,35.6,36.0,36.7,2.78,18.24
342,450,32.57,33.1,35.5,36.0,36.7,2.86,18.12
343,450,32.5,33.1,35.5,36.0,36.7,2.87,18.02
344,450,32.45,33.0,35.5,36.05,36.7,2.83,17.93
345,450,32.37,33.0,35.5,36.1,36.7,2.88,17.83
346,450,32.26,32.9,35.41,36.0,36.7,2.9,17.71
347,450,32.14,32.7,35.3,35.95,36.7,2.77,17.57
348,450,32.02,32.45,35.1,35.9,36.6,2.66,17.43
349,450,31.91,32.3,34.9,35.7,36.6,2.62,17.32
350,450,31.8,32.25,34.7,35.4,36.4,2.57,17.22
351,450,31.68,32.1,34.5,35.1,36.1,2.52,17.12
352,450,31.58,31.9,34.3,35.0,36.0,2.51,17.05
353,450,31.51,31.9,34.3,34.95,36.0,2.5,16.98
354,450,31.45,31.85,34.21,34.81,35.9,2.5,16.91
355,450,31.38,31.8,34.2,34.7,35.9,2.52,16.86
356,450,31.34,31.8,34.2,34.55,35.9,2.53,16.81
357,450,31.28,31.8,34.1,34.5,35.9,2.54,16.75
358,450,31.18,31.7,33.9,34.35,35.41,2.51,16.67
359,458,31.07,31.6,33.9,34.3,35.0,2.5,16.6
360,458,30.97,31.5,33.7,34.2,34.7,2.45,16.53
361,458,30.89,31.4,33.6,34.1,34.6,2.4,16.47
362,458,30.84,31.3,33.6,34.1,34.69,2.41,16.39
363,458,30.77,31.2,33.53,34.0,34.69,2.42,16.34
364,458,30.66,31.0,33.5,34.0,34.7,2.48,16.29
365,458,30.54,30.9,33.4,34.02,34.7,2.5,16.27
366,458,30.46,30.7,33.4,34.1,34.7,2.58,16.26
